1950,3,1,2,1,2,14,3,1,1,1,2,16,3,1,2,1,1,5,2,6,2,8,4,9,1,1,1,2,1,3,1,2,2,2,1,3,1,4,1,1,1,1,2,2,1,2,1,1,1,2,1,2,1,5,2,1,1,2,1,1,1,1,1,1,1,5,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,1,1,1,2,1,5,1,1,1,1,1,3,1,1,1,2,3,1,1,1,2,3,2,1,1,1,3,2,1,5,1,4,2,5,1,1,1,1,4,2,5,1,1,3,1,12,3,7,1,2,1,2,1,4,4,3,1,2,1,4,2,3,4,1,2,1,1,3,1,1,1,2,2,1,1,1,1,1,2,2,1,3,1,4,1,1,1,3,1,1,1,1,3,1,1,1,2,5,1,4,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,1,2,2,7,1,13,1,1,1,8,1,1,1,1,1,1,4,27,2,7,1,7,1,1,1,1,1,2,1,2,1,1,3,1,5,1,1,1,1,1,7,3,2,1,1,1,2,1,2,1,1,1,2,1,2,4,1,3,1,1,1,2,1,3,2,2,1,1,1,2,4,2,1,2,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,1,2,1,3,5,2,1,6,9,1,10,10,1,3,6,4,1,2,1,2,3,2,1,3,5,1,3,5,1,2,1,5,1,7,4,2,2,5,17,10,5,2,1,4,4,2,1,1,2,1,1,1,1,1,1,3,2,9,2,2,1,3,1,6,1,23,9,4,1,1,1,4,1,1,1,1,1,9,1,2,1,1,1,1,1,5,1,1,1,2,2,1,2,1,1,2,1,2,1,2,1,1,1,3,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,3,2,1,1,1,1,10,1,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,2,1,3,1,8,1,1,1,1,1,3,4,13,3,28,1,1,4,2,7,3,1,1,6,1,3,1,6,5,2,1,1,1,3,6,1,4,1,6,36,30,1,1,1,3,3,1,2,1,1,2,3,1,2,1,9,4,2,2,13,15,5,1,1,4,1,1,8,1,3,5,2,2,2,3,5,1,5,2,2,1,1,1,4,1,1,2,1,2,1,2,1,2,1,1,1,1,4,1,1,1,1,2,2,2,2,1,2,1,1,2,2,1,2,1,5,1,1,1,1,1,3,4,3,1,1,1,2,1,1,1,1,3,1,1,1,2,1,1,3,1,1,1,3,2,1,1,1,1,3,1,1,2,1,1,1,14,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,1,1,2,1,4,1,3,3,5,1,3,1,1,9,4,2,2,2,1,6,1,3,2,8,1,1,7,1,5,10,1,1,1,10,11,1,2,1,2,7,1,2,1,2,4,2,1,3,4,3,1,2,1,2,4,1,2,1,1,3,2,1,34,12,1,2,3,2,4,19,4,1,1,2,1,3,1,1,1,7,10,3,1,1,1,1,3,2,1,5,3,3,1,1,2,5,2,1,2,2,2,1,4,1,1,1,1,1,1,1,1,3,4,1,3,1,2,4,1,1,1,1,1,1,2,2,1,1,2,5,2,1,1,1,5,1,4,5,4,1,1,1,17,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,1,1,1,1,6,1,1,5,1,19,2,15,1,2,5,3,1,2,1,15,24,2,3,5,1,1,3,2,2,5,6,2,3,2,1,1,1,1,1,1,5,14,1,1,1,2,1,2,1,2,3,1,3,1,1,7,2,1,1,2,5,2,2,1,1,4,1,1,4,4,1,2,1,4,3,2,2,1,8,6,1,1,2,1,1,1,2,2,9,1,2,3,7,2,3,1,1,1,1,1,1,1,1,1,1,2,2,4,2,1,1,2,1,3,1,1,2,2,1,2,2,1,1,1,1,1,1,1,2,1,2,1,3,15,1,1,1,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,1,14,1,2,1,1,8,6,4,1,13,1,21,16,1,16,19,1,8,11,2,1,7,22,7,2,20,1,1,1,1,1,1,1,1,1,4,4,3,1,15,2,10,9,1,3,24,29,3,26,4,2,3,3,1,1,2,1,1,7,1,4,6,5,2,17,12,1,5,4,5,5,1,1,7,11,2,2,5,2,2,1,5,8,1,2,2,1,2,2,1,2,1,4,1,1,1,1,1,1,3,1,1,2,1,1,2,1,1,1,2,2,1,1,1,4,5,1,2,19,1,3,2,1,5,1,21,3,1,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,1,2,2,1,1,1,1,2,13,1,1,3,1,1,1,4,4,1,2,17,1,1,1,5,2,4,2,7,3,2,2,1,2,4,1,4,6,7,2,1,1,1,2,2,1,2,1,1,1,1,2,11,1,1,1,3,8,3,1,1,11,2,3,5,11,8,3,2,3,1,1,1,1,1,3,3,1,1,6,1,2,1,1,2,4,4,3,2,1,1,1,8,10,1,3,6,2,1,7,2,4,5,2,2,1,1,2,1,4,1,1,1,1,2,2,5,1,1,1,2,1,2,3,3,2,5,1,3,1,1,1,3,1,1,2,1,2,4,1,1,1,2,1,1,2,1,4,1,1,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,1,12,2,1,1,14,1,1,1,1,2,1,1,7,3,1,7,3,10,3,3,1,1,1,4,3,2,1,2,1,4,4,1,35,1,1,3,3,18,23,2,3,4,5,4,10,1,1,2,1,5,9,1,1,3,7,9,8,1,2,4,1,1,1,1,1,2,2,6,1,2,2,2,3,1,3,3,3,4,1,7,1,2,1,1,7,5,1,9,1,1,2,1,1,3,1,1,1,1,1,1,1,2,2,1,3,1,1,1,1,1,1,2,1,1,3,2,2,2,1,2,1,1,1,22,6,4,2,1,3,1,2,3,1,1,4,1,2,2,1,1,1,6,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
