"Word" "Freq"
"337" "form" 266
"338" "A / a" 266
"339" "looking" 264
"340" "early" 264
"341" "making" 264
"342" "today" 263
"343" "mother" 262
"344" "saw" 261
"345" "knew" 261
"346" "education" 260
"347" "work" 260
"348" "actually" 260
"349" "policy" 260
"350" "ever" 259
"351" "so" 258
"352" "at least" 257
"353" "office" 257
"354" "am" 256
"355" "research" 256
"356" "feel" 256
"357" "big" 255
"358" "body" 255
"359" "door" 254
"360" "let" 253
"361" "Britain" 251
"362" "3" 250
"363" "name" 250
"364" "person" 250
"365" "services" 249
"366" "months" 248
"367" "report" 248
"368" "question" 248
"369" "using" 247
"370" "health" 246
"371" "turned" 246
"372" "lot*" 246
"373" "million" 245
"374" "main" 245
"375" "though" 245
"376" "words" 244
"377" "enough" 244
"378" "child" 244
"379" "less" 243
"380" "book" 243
"381" "period" 243
"382" "until" 242
"383" "several" 240
"384" "sure" 240
"385" "father" 239
"386" "for example" 239
"387" "level" 239
"388" "control" 238
"389" "known" 238
"390" "society" 238
"391" "major" 238
"392" "seemed" 238
"393" "around" 237
"394" "began" 237
"395" "itself" 237
"396" "themselves" 237
"397" "minister" 237
"398" "economic" 236
"399" "wanted" 234
"400" "upon" 234
"401" "areas" 234
"402" "after" 233
"403" "therefore" 232
"404" "woman" 232
"405" "England" 231
"406" "city" 231
"407" "community" 231
"408" "only" 231
"409" "including" 230
"410" "centre" 230
"411" "gave" 229
"412" "job" 229
"413" "among" 229
"414" "position" 228
"415" "effect" 228
"416" "likely" 227
"417" "real" 227
"418" "clear" 227
"419" "staff" 226
"420" "black" 225
"421" "kind" 225
"422" "read" 225
"423" "provide" 223
"424" "particular" 223
"425" "became" 223
"426" "line" 221
"427" "moment" 221
"428" "international" 221
"429" "action" 221
"430" "special" 220
"431" "difficult" 220
"432" "certain" 220
"433" "particularly" 220
"434" "either" 220
"435" "open" 219
"436" "management" 218
"437" "taking" 218
"438" "across" 217
"439" "idea" 217
"440" "further*" 216
"441" "whole" 216
"442" "age" 216
"443" "process" 215
"444" "act" 215
"445" "around" 215
"446" "evidence" 215
"447" "view" 214
"448" "better" 214
"449" "off" 214
"450" "mind" 213
"451" "sense" 213
"452" "rather" 213
"453" "seems" 212
"454" "believe" 212
"455" "morning" 211
"456" "third" 211
"457" "else" 209
"458" "half" 209
"459" "white" 206
"460" "death" 205
"461" "sometimes" 205
"462" "thus" 205
"463" "brought" 204
"464" "getting" 203
"465" "church" 203
"466" "ten" 203
"467" "shall" 202
"468" "try" 202
"469" "behind" 202
"470" "heard" 202
"471" "God" 202
"472" "table" 201
"473" "change" 201
"474" "4" 201
"475" "support" 201
"476" "back" 200
"477" "sort" 199
"478" "Mrs" 198
"479" "whose" 198
"480" "industry" 198
"481" "ago" 198
"482" "free" 198
"483" "care" 198
"484" "so that" 197
"485" "order" 197
"486" "century" 197
"487" "range" 196
"488" "European" 195
"489" "gone" 195
"490" "yesterday" 195
"491" "training" 194
"492" "working" 194
"493" "ask" 194
"494" "street" 194
"495" "home" 194
"496" "word" 193
"497" "groups" 193
"498" "history" 193
"499" "central" 193
"500" "all" 193
"501" "study" 192
"502" "usually" 191
"503" "remember" 191
"504" "trade" 191
"505" "hundred" 191
"506" "programme" 190
"507" "food" 190
"508" "committee" 190
"509" "air" 189
"510" "hours" 189
"511" "experience" 189
"512" "rate" 189
"513" "hands" 188
"514" "indeed" 188
"515" "sir" 188
"516" "language" 188
"517" "land" 188
"518" "result" 187
"519" "course" 187
"520" "someone" 187
"521" "everything" 187
"522" "certainly" 186
"523" "based" 186
"524" "team" 186
"525" "section" 186
"526" "10" 186
"527" "leave" 185
"528" "trying" 185
"529" "coming" 185
"530" "similar" 184
"531" "once" 183
"532" "minutes" 183
"533" "authority" 183
"534" "human" 183
"535" "changes" 183
"536" "little" 183
"537" "cases" 183
"538" "common" 182
"539" "role" 182
"540" "data/datum" 182
"541" "true" 181
"542" "Europe" 181
"543" "necessary" 181
"544" "nature" 181
"545" "class" 181
"546" "reason" 181
"547" "long" 181
"548" "saying" 180
"549" "town" 180
"550" "show" 180
"551" "subject" 179
"552" "voice" 179
"553" "companies" 178
"554" "since" 178
"555" "because of" 178
"556" "simply" 177
"557" "especially" 177
"558" "B / b" 177
"559" "department" 177
"560" "single" 177
"561" "short" 177
"562" "personal" 176
"563" "as well as" 176
"564" "5" 176
"565" "pay" 175
"566" "value" 175
"567" "member" 175
"568" "started" 175
"569" "run" 174
"570" "patients" 173
"571" "paper" 173
"572" "private" 173
"573" "seven" 173
"574" "UK" 173
"575" "eight" 173
"576" "systems" 173
"577" "herself" 172
"578" "practice" 171
"579" "wife" 171
"580" "price" 170
"581" "type" 170
"582" "seem" 170
"583" "figure" 170
"584" "former" 170
"585" "rather than" 169
"586" "lost" 169
"587" "right" 169
"588" "need" 169
"589" "matter" 168
"590" "decision" 168
"591" "bank" 168
"592" "countries" 168
"593" "until" 167
"594" "makes" 166
"595" "union" 166
"596" "terms" 165
"597" "financial" 165
"598" "needed" 165
"599" "south" 165
"600" "university" 164
"601" "club" 164
"602" "president" 164
"603" "friend" 164
"604" "parents" 163
"605" "quality" 163
"606" "cos*" 163
"607" "building" 163
"608" "north" 163
"609" "stage" 162
"610" "meeting" 162
"611" "wo~" 161
"612" "foreign" 161
"613" "soon" 161
"614" "strong" 160
"615" "situation" 160
"616" "comes" 160
"617" "late" 159
"618" "bed" 159
"619" "recent" 158
"620" "date" 158
"621" "low" 158
"622" "US" 158
"623" "concerned" 158
"624" "girl" 158
"625" "hard" 157
"626" "American" 157
"627" "David" 157
"628" "according to" 157
"629" "as if" 157
"630" "twenty" 156
"631" "higher" 156
"632" "tax" 156
"633" "used (to)" 156
"634" "production" 156
"635" "various" 155
"636" "understand" 155
"637" "led" 154
"638" "bring" 154
"639" "schools" 154
"640" "ground" 154
"641" "conditions" 154
"642" "secretary" 154
"643" "weeks" 154
"644" "clearly" 153
"645" "bad" 153
"646" "art" 153
"647" "start" 153
"648" "up to" 152
"649" "include" 152
"650" "poor" 151
"651" "hospital" 151
"652" "friends" 151
"653" "decided" 151
"654" "~na*" 150
"655" "shown" 150
"656" "music" 150
"657" "month" 150
"658" "English" 150
"659" "tried" 150
"660" "game" 150
"661" "1990" 150
"662" "May" 150
"663" "anyone" 150
"664" "wrong" 149
"665" "ways" 149
"666" "chapter" 149
"667" "followed" 149
"668" "cost" 149
"669" "play" 149
"670" "present" 148
"671" "love" 148
"672" "issue" 148
"673" "at all" 148
"674" "goes" 148
"675" "described" 148
"676" "more than*" 148
"677" "award" 148
"678" "Mr." 148
"679" "king" 147
"680" "royal" 147
"681" "results" 147
"682" "workers" 147
"683" "April" 147
"684" "expected" 146
"685" "amount" 146
"686" "students" 146
"687" "despite" 146
"688" "knowledge" 146
"689" "June" 146
"690" "moved" 146
"691" "news" 145
"692" "light" 145
"693" "March" 145
"694" "approach" 145
"695" "lord" 145
"696" "p." 145
"697" "cut" 145
"698" "basis" 145
"699" "hair" 144
"700" "required" 144
"701" "further" 144
"702" "paid" 144
"703" "series" 144
"704" "better" 143
"705" "before" 143
"706" "field" 143
"707" "allowed" 143
"708" "easy" 143
"709" "kept" 143
"710" "questions" 143
"711" "natural" 142
"712" "live" 142
"713" "future" 142
"714" "rest" 142
"715" "project" 141
"716" "greater" 141
"717" "feet" 141
"718" "meet" 141
"719" "simple" 140
"720" "died" 140
"721" "for" 139
"722" "happened" 139
"723" "added" 139
"724" "C / c" 138
"725" "manager" 138
"726" "computer" 138
"727" "security" 138
"728" "near" 138
"729" "met" 138
"730" "evening" 138
"731" "means" 138
"732" "round" 138
"733" "carried" 138
"734" "hear" 137
"735" "bit*" 137
"736" "heart" 137
"737" "forward" 137
"738" "sent" 137
"739" "above" 137
"740" "attention" 137
"741" "labour*" 137
"742" "story" 137
"743" "structure" 137
"744" "move" 136
"745" "agreed" 136
"746" "nine" 136
"747" "&" 136
"748" "letter" 136
"749" "individual" 136
"750" "force" 136
"751" "studies" 136
"752" "movement" 135
"753" "account" 135
"754" "per" 135
"755" "call" 135
"756" "6" 134
"757" "board" 134
"758" "success" 134
"759" "1989" 134
"760" "French" 134
"761" "following" 134
"762" "considered" 134
"763" "current" 133
"764" "everyone" 133
"765" "fire" 133
"766" "agreement" 133
"767" "please" 133
"768" "boy" 133
"769" "capital" 133
"770" "stood" 133
"771" "analysis" 132
"772" "whatever" 132
"773" "population" 132
"774" "20" 131
"775" "modern" 131
"776" "theory" 131
"777" "books" 131
"778" "labour*" 131
"779" "stop" 131
"780" "in order" 131
"781" "legal" 131
"782" "Scotland" 131
"783" "material" 131
"784" "son" 131
"785" "received" 130
"786" "model" 130
"787" "chance" 130
"788" "environment" 130
"789" "finally" 130
"790" "performance" 130
"791" "sea" 130
"792" "rights" 130
"793" "growth" 130
"794" "authorities" 130
"795" "provided" 130
"796" "nice" 129
"797" "whom" 129
"798" "produced" 129
"799" "relationship" 129
"800" "talk" 129
"801" "turn" 129
"802" "built" 129
"803" "final" 129
"804" "east" 128
"805" "1991" 128
"806" "talking" 128
"807" "fine" 127
"808" "worked" 127
"809" "west" 127
"810" "parties" 127
"811" "size" 127
"812" "record" 126
"813" "red" 126
"814" "close" 126
"815" "property" 125
"816" "myself" 125
"817" "gon~" 125
"818" "example" 125
"819" "space" 125
"820" "giving" 125
"821" "normal" 124
"822" "nor" 124
"823" "reached" 124
"824" "buy" 124
"825" "serious" 124
"826" "quickly" 124
"827" "Peter" 124
"828" "along" 123
"829" "plan" 123
"830" "behaviour" 123
"831" "France" 123
"832" "recently" 123
"833" "term" 123
"834" "previous" 123
"835" "couple" 123
"836" "included" 123
"837" "pounds" 123
"838" "anyway" 122
"839" "cup" 122
"840" "treatment" 122
"841" "energy" 122
"842" "total" 122
"843" "thank" 122
"844" "director" 122
"845" "12" 121
"846" "prime" 121
"847" "levels" 121
"848" "significant" 121
"849" "issues" 121
"850" "sat" 121
"851" "income" 120
"852" "top" 120
"853" "choice" 120
"854" "away from" 120
"855" "costs" 120
"856" "design" 119
"857" "pressure" 119
"858" "scheme" 119
"859" "July" 119
"860" "change" 119
"861" "a bit" 119
"862" "list" 118
"863" "suddenly" 118
"864" "continue" 118
"865" "technology" 118
"866" "hall" 118
"867" "takes" 118
"868" "ones" 118
"869" "details" 117
"870" "happy" 117
"871" "consider" 117
"872" "won" 117
"873" "defence" 116
"874" "following" 116
"875" "parts" 116
"876" "loss" 116
"877" "industrial" 116
"878" "activities" 116
"879" "throughout" 116
"880" "spent" 116
"881" "outside" 116
"882" "teachers" 116
"883" "generally" 116
"884" "opened" 115
"885" "floor" 115
"886" "round" 115
"887" "activity" 115
"888" "hope" 115
"889" "points" 115
"890" "association" 115
"891" "nearly" 115
"892" "United" 115
"893" "allow" 115
"894" "rates" 115
"895" "sun" 115
"896" "army" 114
"897" "sorry" 114
"898" "wall" 114
"899" "hotel" 114
"900" "forces" 114
"901" "contract" 114
"902" "dead" 114
"903" "30" 114
"904" "Paul" 114
"905" "stay" 114
"906" "reported" 114
"907" "as well" 113
"908" "hour" 113
"909" "difference" 113
"910" "meant" 113
"911" "summer" 113
"912" "county" 113
"913" "specific" 113
"914" "numbers" 113
"915" "wide" 113
"916" "appropriate" 113
"917" "husband" 112
"918" "top" 112
"919" "played" 112
"920" "relations" 112
"921" "Dr" 112
"922" "figures" 112
"923" "chairman" 112
"924" "set" 112
"925" "lower" 111
"926" "product" 111
"927" "colour" 111
"928" "ideas" 111
"929" "George" 111
"930" "St" 111
"931" "look" 110
"932" "arms" 110
"933" "obviously" 110
"934" "unless" 110
"935" "produce" 110
"936" "changed" 109
"937" "season" 109
"938" "developed" 109
"939" "unit" 109
"940" "15" 109
"941" "appear" 109
"942" "investment" 109
"943" "Soviet" 109
"944" "test" 109
"945" "basic" 109
"946" "write" 109
"947" "village" 109
"948" "reasons" 108
"949" "military" 108
"950" "original" 108
"951" "successful" 108
"952" "garden" 108
"953" "effects" 108
"954" "each other" 108
"955" "aware" 108
"956" "yourself" 107
"957" "exactly" 107
"958" "help" 107
"959" "suppose" 107
"960" "showed" 107
"961" "style" 107
"962" "7" 107
"963" "employment" 107
"964" "passed" 107
"965" "appeared" 107
"966" "de*" 107
"967" "page" 106
"968" "hold" 106
"969" "suggested" 106
"970" "Germany" 106
"971" "continued" 106
"972" "October" 106
"973" "offered" 106
"974" "products" 106
"975" "popular" 106
"976" "science" 106
"977" "New" 106
"978" "window" 106
"979" "expect" 106
"980" "hon." 105
"981" "beyond" 105
"982" "resources" 105
"983" "rules" 105
"984" "professional" 105
"985" "announced" 105
"986" "economy" 105
"987" "picture" 105
"988" "okay" 105
"989" "needs" 105
"990" "doctor" 105
"991" "maybe" 105
"992" "events" 105
"993" "a little" 104
"994" "direct" 104
"995" "gives" 104
"996" "advice" 104
"997" "running" 104
"998" "circumstances" 104
"999" "sales" 104
"1000" "risk" 104
"1001" "interests" 104
"1002" "September" 104
"1003" "dark" 104
"1004" "event" 104
"1005" "thousand" 104
"1006" "involved" 103
"1007" "written" 103
"1008" "park" 103
"1009" "1988" 103
"1010" "returned" 103
"1011" "ensure" 103
"1012" "America" 103
"1013" "fish" 103
"1014" "wish" 103
"1015" "opportunity" 103
"1016" "commission" 102
"1017" "1992" 102
"1018" "oil" 102
"1019" "sound" 102
"1020" "ready" 102
"1021" "lines" 102
"1022" "shop" 102
"1023" "looks" 102
"1024" "James" 102
"1025" "immediately" 102
"1026" "worth" 102
"1027" "in terms of" 102
"1028" "college" 102
"1029" "press" 102
"1030" "January" 102
"1031" "fell" 101
"1032" "blood" 101
"1033" "goods" 101
"1034" "playing" 101
"1035" "carry" 101
"1036" "less" 101
"1037" "film" 101
"1038" "prices" 101
"1039" "useful" 101
"1040" "conference" 101
"1041" "operation" 100
"1042" "follows" 100
"1043" "extent" 100
"1044" "designed" 100
"1045" "application" 100
"1046" "station" 100
"1047" "television" 100
"1048" "access" 100
"1049" "Richard" 100
"1050" "response" 100
"1051" "degree" 100
"1052" "majority" 100
"1053" "effective" 99
"1054" "established" 99
"1055" "wrote" 99
"1056" "region" 99
"1057" "green" 99
"1058" "York" 99
"1059" "ah" 99
"1060" "western" 99
"1061" "traditional" 99
"1062" "easily" 99
"1063" "cold" 99
"1064" "shows" 99
"1065" "offer" 99
"1066" "though" 99
"1067" "statement" 98
"1068" "Scottish" 98
"1069" "published" 98
"1070" "forms" 98
"1071" "German" 98
"1072" "down" 98
"1073" "accept" 98
"1074" "miles" 98
"1075" "independent" 98
"1076" "election" 98
"1077" "support" 97
"1078" "8" 97
"1079" "importance" 97
"1080" "lady" 97
"1081" "site" 97
"1082" "jobs" 97
"1083" "needs" 97
"1084" "plans" 97
"1085" "earth" 97
"1086" "earlier" 97
"1087" "title" 97
"1088" "parliament" 97
"1089" "standards" 96
"1090" "leaving" 96
"1091" "interesting" 96
"1092" "houses" 96
"1093" "planning" 96
"1094" "considerable" 96
"1095" "girls" 96
"1096" "involved" 96
"1097" "Ireland" 96
"1098" "increase" 96
"1099" "species" 96
"1100" "stopped" 96
"1101" "concern" 96
"1102" "public" 96
"1103" "means" 96
"1104" "caused" 96
"1105" "raised" 95
"1106" "through" 95
"1107" "glass" 95
"1108" "physical" 95
"1109" "thought" 95
"1110" "Michael" 95
"1111" "eye" 95
"1112" "left" 95
"1113" "heavy" 94
"1114" "walked" 94
"1115" "daughter" 94
"1116" "existing" 94
"1117" "competition" 94
"1118" "speak" 94
"1119" "responsible" 94
"1120" "up to" 94
"1121" "river" 94
"1122" "follow" 94
"1123" "software" 94
"1124" "complete" 94
"1125" "above" 94
"1126" "November" 94
"1127" "December" 94
"1128" "purpose" 93
"1129" "mouth" 93
"1130" "medical" 93
"1131" "responsibility" 93
"1132" "Sunday" 93
"1133" "Wales" 93
"1134" "leader" 93
"1135" "tomorrow" 93
"1136" "piece" 92
"1137" "11" 92
"1138" "thirty" 92
"1139" "lay" 92
"1140" "officer" 92
"1141" "task" 92
"1142" "blue" 92
"1143" "on to" 92
"1144" "answer" 92
"1145" "stand" 92
"1146" "thinking" 92
"1147" "extra" 92
"1148" "highly" 91
"1149" "places" 91
"1150" "arm" 91
"1151" "eventually" 91
"1152" "campaign" 91
"1153" "ability" 91
"1154" "appeal" 91
"1155" "whole" 91
"1156" "Charles" 91
"1157" "skills" 91
"1158" "opposition" 91
"1159" "remained" 91
"1160" "pattern" 91
"1161" "method" 91
"1162" "miss*" 91
"1163" "hot" 91
"1164" "lead" 91
"1165" "source" 91
"1166" "bought" 91
"1167" "baby" 91
"1168" "lack" 90
"1169" "once" 90
"1170" "bill" 90
"1171" "division" 90
"1172" "remain" 90
"1173" "surface" 90
"1174" "older" 90
"1175" "charge" 90
"1176" "methods" 89
"1177" "trouble" 89
"1178" "fully" 89
"1179" "equipment" 89
"1180" "moving" 89
"1181" "suggest" 89
"1182" "disease" 89
"1183" "officers" 89
"1184" "past" 89
"1185" "peace" 89
"1186" "male" 89
"1187" "slightly" 89
"1188" "demand" 89
"1189" "failed" 89
"1190" "wants" 89
"1191" "attempt" 89
"1192" "types" 89
"1193" "Christmas" 88
"1194" "hit" 88
"1195" "post" 88
"1196" "policies" 88
"1197" "hardly" 88
"1198" "ii" 88
"1199" "arrived" 88
"1200" "no longer" 88
"1201" "compared" 88
"1202" "below" 88
"1203" "otherwise" 88
"1204" "windows" 88
"1205" "West" 88
"1206" "deal" 88
"1207" "directly" 88
"1208" "interested" 88
"1209" "sale" 88
"1210" "like" 88
"1211" "firm" 88
"1212" "status" 88
"1213" "happen" 88
"1214" "box" 88
"1215" "even if" 87
"1216" "teacher" 87
"1217" "radio" 87
"1218" "provision" 87
"1219" "variety" 87
"1220" "show" 87
"1221" "ran" 87
"1222" "sector" 87
"1223" "return" 87
"1224" "factors" 87
"1225" "essential" 87
"1226" "direction" 87
"1227" "beautiful" 87
"1228" "civil" 87
"1229" "base" 86
"1230" "waiting" 86
"1231" "caught" 86
"1232" "sit" 86
"1233" "develop" 86
"1234" "character" 86
"1235" "safety" 86
"1236" "placed" 86
"1237" "past" 86
"1238" "completely" 86
"1239" "tea" 86
"1240" "introduced" 86
"1241" "killed" 86
"1242" "love" 86
"1243" "mum" 86
"1244" "I / i" 86
"1245" "context" 86
"1246" "fifty" 86
"1247" "primary" 86
"1248" "animals" 86
"1249" "culture" 86
"1250" "Oxford" 86
"1251" "brother" 85
"1252" "obvious" 85
"1253" "weight" 85
"1254" "discussion" 85
"1255" "created" 85
"1256" "1987" 85
"1257" "future" 85
"1258" "other" 85
"1259" "start" 85
"1260" "States" 85
"1261" "none" 84
"1262" "sold" 84
"1263" "let's" 84
"1264" "machine" 84
"1265" "afternoon" 84
"1266" "knows" 84
"1267" "environmental" 84
"1268" "fair" 84
"1269" "William" 84
"1270" "February" 84
"1271" "provides" 84
"1272" "wait" 84
"1273" "league" 83
"1274" "trees" 83
"1275" "positive" 83
"1276" "organisation" 83
"1277" "win" 83
"1278" "condition" 83
"1279" "families" 83
"1280" "argument" 83
"1281" "sex" 83
"1282" "Saturday" 83
"1283" "learn" 83
"1284" "up" 83
"1285" "normally" 83
"1286" "claimed" 83
"1287" "truth" 83
"1288" "senior" 82
"1289" "kitchen" 82
"1290" "works" 82
"1291" "add" 82
"1292" "lived" 82
"1293" "library" 82
"1294" "minute" 82
"1295" "believed" 82
"1296" "enough" 82
"1297" "transport" 82
"1298" "share" 82
"1299" "principle" 82
"1300" "create" 82
"1301" "agree" 82
"1302" "born" 82
"1303" "players" 82
"1304" "cash" 82
"1305" "exchange" 82
"1306" "rule" 82
"1307" "budget" 82
"1308" "turn" 81
"1309" "pupils" 81
"1310" "nuclear" 81
"1311" "sitting" 81
"1312" "version" 81
"1313" "English" 81
"1314" "best" 81
"1315" "no one*" 81
"1316" "features" 81
"1317" "18" 81
"1318" "duty" 81
"1319" "annual" 81
"1320" "balance" 81
"1321" "16" 81
"1322" "front" 81
"1323" "send" 80
"1324" "boys" 80
"1325" "presence" 80
"1326" "protection" 80
"1327" "dog" 80
"1328" "courses" 80
"1329" "individuals" 80
"1330" "matters" 80
"1331" "media" 80
"1332" "avoid" 80
"1333" "influence" 80
"1334" "9" 80
"1335" "presented" 80
"1336" "14" 80
"1337" "speaker" 80
"1338" "stone" 79
"1339" "relevant" 79
"1340" "apply" 79
"1341" "August" 79
"1342" "explain" 79
"1343" "deep" 79
"1344" "Robert" 79
"1345" "1986" 79
"1346" "achieved" 79
"1347" "slowly" 79
"1348" "relatively" 79
"1349" "P / p" 79
"1350" "shares" 79
"1351" "letters" 79
"1352" "finished" 79
"1353" "survey" 79
"1354" "huge" 79
"1355" "accepted" 79
"1356" "covered" 79
"1357" "review" 79
"1358" "Smith" 79
"1359" "closed" 79
"1360" "form" 79
"1361" "marriage" 79
"1362" "commercial" 79
"1363" "aid" 78
"1364" "lives" 78
"1365" "collection" 78
"1366" "living" 78
"1367" "speech" 78
"1368" "Africa" 78
"1369" "regional" 78
"1370" "differences" 78
"1371" "benefit" 78
"1372" "apparently" 78
"1373" "effort" 78
"1374" "gets" 78
"1375" "executive" 78
"1376" "due to" 78
"1377" "later" 78
"1378" "latter" 78
"1379" "function" 78
"1380" "failure" 78
"1381" "return" 78
"1382" "chair" 77
"1383" "reference" 77
"1384" "horse" 77
"1385" "becomes" 77
"1386" "attack" 77
"1387" "reports" 77
"1388" "practical" 77
"1389" "queen" 77
"1390" "25" 77
"1391" "subjects" 77
"1392" "career" 77
